Player,Team,K Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
Tyreek Hill,KC,10.485714285714286,7.8,1.4000000000000001,4.6,10.4,BYE,4.0,18.200000000000003,27.0
Victor Cruz,NYG,10.314285714285715,12.8,18.2,14.0,10.0,0.0,6.2,11.0,BYE
Marqise Lee,JAC,10.22857142857143,4.4,15.0,8.8,5.6000000000000005,BYE,12.200000000000001,21.400000000000002,4.2
Cobi Hamilton,PIT,10.2,OUT,OUT,OUT,OUT,OUT,13.2,7.2,BYE
Geronimo Allison,GB,10.2,OUT,OUT,OUT,BYE,OUT,OUT,OUT,10.2
J.J. Nelson,ARI,10.033333333333333,2.2,OUT,OUT,4.800000000000001,0.0,7.800000000000001,17.6,27.8
Michael Floyd,ARI,9.914285714285715,12.200000000000001,7.6,13.0,13.2,0.0,10.4,13.0,OUT
Anquan Boldin,DET,9.9,7.0,15.600000000000001,10.4,6.2,9.600000000000001,18.0,11.600000000000001,0.8
Robert Woods,BUF,9.314285714285715,4.0,2.0,10.200000000000001,17.8,5.2,16.0,OUT,10.0
Seth Roberts,OAK,9.125,9.8,5.0,11.4,8.4,4.4,5.800000000000001,8.4,19.8
Phillip Dorsett,IND,9.114285714285716,18.8,6.0,5.4,19.4,5.2,2.4000000000000004,OUT,6.6000000000000005
Adam Humphries,TB,8.971428571428572,8.200000000000001,13.4,20.0,0.8,4.2,BYE,4.6000000000000005,11.600000000000001
Darrius Heyward-Bey,PIT,8.72,OUT,1.4000000000000001,0.0,12.2,OUT,18.0,12.0,BYE
Taylor Gabriel,ATL,8.559999999999999,OUT,5.6000000000000005,6.6000000000000005,9.8,OUT,1.2000000000000002,OUT,19.6
Dontrelle Inman,SD,8.475000000000001,1.2000000000000002,1.4000000000000001,6.4,30.0,0.6000000000000001,2.2,11.600000000000001,14.4
Eli Rogers,PIT,8.25,17.8,1.8,6.4,OUT,OUT,7.0,OUT,BYE
Chris Conley,KC,8.171428571428573,8.6,3.0,8.8,14.0,BYE,5.2,5.800000000000001,11.8
Ted Ginn,CAR,8.0,5.0,11.200000000000001,13.4,2.8000000000000003,1.0,12.0,BYE,10.600000000000001
Andrew Hawkins,CLE,7.85,-0.2,5.6000000000000005,3.0000000000000004,5.6000000000000005,17.200000000000003,9.600000000000001,3.8000000000000003,18.2
Cordarrelle Patterson,MIN,7.685714285714285,2.8000000000000003,-0.4,1.6,8.0,15.200000000000001,BYE,19.4,7.2
Ty Montgomery,GB,7.666666666666667,0.0,0.0,-0.2,BYE,0.2,20.8,25.200000000000003,OUT
Torrey Smith,SF,7.4,2.6,17.0,7.0,0.6000000000000001,0.0,21.200000000000003,3.4000000000000004,BYE
Devin Funchess,CAR,7.333333333333333,1.8,9.8,0.0,11.200000000000001,OUT,13.600000000000001,BYE,7.6000000000000005
Nelson Agholor,PHI,7.171428571428571,17.4,8.4,4.2,BYE,6.4,6.800000000000001,2.0,5.0
Tyler Boyd,CIN,7.15,4.800000000000001,15.600000000000001,3.6,2.0,6.6000000000000005,15.8,0.6000000000000001,8.200000000000001
Danny Amendola,NE,7.025,9.600000000000001,22.0,4.6000000000000005,0.0,2.2,6.0,0.0,11.8
Jermaine Kearse,SEA,6.999999999999999,11.4,2.2,2.2,4.6000000000000005,BYE,7.0,10.200000000000001,11.4
Brandon Coleman,NO,6.666666666666667,OUT,3.0,15.600000000000001,3.4000000000000004,BYE,1.2000000000000002,8.0,8.8
Tajae Sharpe,TEN,6.5,15.200000000000001,6.6000000000000005,9.600000000000001,3.0,3.4000000000000004,0.2,11.8,2.2
Jarius Wright,MIN,6.4,OUT,OUT,OUT,OUT,6.4,BYE,OUT,OUT
Dorial Green-Beckham,PHI,6.4,2.8000000000000003,3.6,6.6000000000000005,BYE,8.6,4.6000000000000005,7.6,11.0
Russell Shepard,TB,6.3999999999999995,1.8,3.2,1.2000000000000002,OUT,0.0,BYE,21.4,10.8
Justin Hunter,BUF,6.3,OUT,OUT,OUT,OUT,6.8,12.0,5.0,1.4000000000000001
Markus Wheaton,PIT,6.066666666666666,OUT,OUT,0.4,14.0,3.8000000000000003,OUT,OUT,BYE
Robby Anderson,NYJ,6.066666666666666,OUT,OUT,6.800000000000001,2.4000000000000004,2.0,4.800000000000001,14.200000000000001,6.2
Corey Brown,CAR,6.000000000000001,2.2,3.0,11.4,15.600000000000001,2.6,6.6000000000000005,BYE,0.6000000000000001
Tyler Lockett,SEA,5.685714285714285,3.4000000000000004,19.8,0.0,2.6,BYE,5.000000000000001,2.6,6.4
Tanner McEvoy,SEA,5.68,OUT,OUT,0.0,14.4,BYE,3.4000000000000004,2.0,8.6
Quinton Patton,SF,5.342857142857143,12.0,5.0,1.6,2.6,3.2,10.4,2.6,BYE
Breshad Perriman,BAL,5.285714285714286,7.0,6.4,4.800000000000001,4.800000000000001,2.2,9.600000000000001,2.2,BYE
Walt Powell,BUF,5.279999999999999,OUT,OUT,5.6000000000000005,4.4,0.0,OUT,4.6000000000000005,11.8
Chester Rogers,IND,5.2,OUT,0.0,0.0,7.800000000000001,4.800000000000001,12.600000000000001,6.0,OUT
Brice Butler,DAL,5.028571428571428,3.2,0.0,0.0,14.200000000000001,4.0,10.0,BYE,3.8000000000000003
Ricardo Louis,CLE,4.575,0.0,0.0,8.0,5.6000000000000005,2.6,13.0,1.0,6.4
Jaelen Strong,HOU,4.366666666666666,OUT,0.0,3.0,6.2,7.800000000000001,7.2,2.0,OUT
Kamar Aiken,BAL,4.2,2.8000000000000003,0.0,1.0,1.8,0.0,12.8,11.0,BYE
Harry Douglas,TEN,4.1,4.2,OUT,4.0,OUT,OUT,OUT,OUT,OUT
Justin Hardy,ATL,4.085714285714285,0.0,7.6,11.2,0.0,OUT,6.0,1.2000000000000002,2.6
Roger Lewis,NYG,4.066666666666667,OUT,OUT,OUT,OUT,0.0,10.8,1.4000000000000001,BYE
Charone Peake,NYJ,4.000000000000001,OUT,OUT,OUT,6.0,1.2000000000000002,8.6,1.6,2.6
Paul Richardson,SEA,3.866666666666667,2.2,7.0,0.0,5.4,BYE,OUT,2.0,6.6000000000000005
Albert Wilson,KC,3.7600000000000002,0.2,2.2,OUT,10.4,BYE,5.2,0.8,OUT
Arrelious Benn,JAC,3.7142857142857144,0.0,1.8,0.0,0.2,BYE,16.200000000000003,7.800000000000001,0.0
Aldrick Robinson,ATL,3.4285714285714284,OUT,6.0,0.8,15.600000000000001,0.0,1.6,0.0,0.0
Jeff Janis,GB,3.3200000000000003,OUT,OUT,0.0,BYE,0.0,2.8000000000000003,1.8,12.0
Malcolm Mitchell,NE,3.28,6.6000000000000005,3.0,5.4,OUT,1.4000000000000001,OUT,0.0,OUT
Jordan Taylor,DEN,3.25,OUT,4.0,OUT,1.8,OUT,0.2,OUT,7.0
Jordan Norwood,DEN,3.2250000000000005,0.0,4.800000000000001,0.0,5.0,4.800000000000001,7.800000000000001,1.6,1.8
Josh Huff,PHI,3.2,0.0,-0.2,4.0,BYE,9.0,0.0,7.800000000000001,1.8
Bryan Walters,JAC,2.9333333333333336,OUT,OUT,OUT,0.0,BYE,0.0,OUT,8.8
Bennie Fowler,DEN,2.8333333333333335,OUT,OUT,2.6,0.0,2.6,10.4,1.4000000000000001,0.0
Charles Johnson,MIN,2.8307692307692305,1.0,3.0,0.0,14.0,0.4,BYE,0.0,0.0
Lucky Whitehead,DAL,2.8,0.0,0.0,0.6000000000000001,1.6,1.8,12.2,BYE,3.4000000000000004
Tommylee Lewis,NO,2.6333333333333333,OUT,-0.2,8.799999999999999,2.4000000000000004,BYE,4.800000000000001,0.0,0.0
Andre Holmes,OAK,2.575,0.0,7.2,1.6,0.0,2.6,8.2,1.0,0.0
Jalin Marshall,NYJ,2.5,0.0,9.0,3.8000000000000003,OUT,OUT,2.2,0.0,0.0
Josh Bellamy,CHI,2.2800000000000002,OUT,0.0,OUT,OUT,2.8000000000000003,1.4000000000000001,6.4,0.8
Devin Street,IND,2.0,OUT,OUT,OUT,OUT,OUT,OUT,4.0,0.0
Andre Roberts,DET,1.975,1.6,0.0,0.0,1.6,0.0,8.6,4.0,0.0
Rod Streater,SF,1.9200000000000004,OUT,2.6,3.8000000000000003,OUT,0.0,3.2,0.0,BYE
De'Anthony Thomas,KC,1.8666666666666665,OUT,OUT,OUT,OUT,BYE,2.8000000000000003,2.4000000000000004,0.4
Trevor Davis,GB,1.8,OUT,0.0,0.0,BYE,0.0,0.0,0.0,10.8
Braxton Miller,HOU,1.6666666666666667,1.2000000000000002,0.20000000000000007,OUT,OUT,2.4000000000000004,2.6,0.0,3.6
Brandon Tate,BUF,1.65,0.0,0.0,0.0,0.8,0.0,0.0,6.2,6.200000000000001
Rashad Ross,WAS,1.6,OUT,OUT,OUT,OUT,1.6,OUT,OUT,OUT
Johnny Holton,OAK,1.5666666666666667,0.0,3.6000000000000005,0.4,OUT,0.0,OUT,5.0,0.4
Brittan Golden,ARI,1.45,OUT,OUT,OUT,OUT,0.0,0.0,0.0,5.800000000000001
Rashard Higgins,CLE,1.4333333333333333,OUT,0.0,0.0,OUT,0.0,2.8000000000000003,3.8000000000000003,2.0
Leonte Carroo,MIA,1.4,2.8000000000000003,OUT,OUT,0.0,OUT,OUT,OUT,BYE
Chris Moore,BAL,1.366666666666667,2.6,1.8,0.4,1.2000000000000002,OUT,0.0,2.2,BYE
Bradley Marquez,LA,1.35,OUT,OUT,2.4000000000000004,OUT,0.4,2.6,0.0,BYE
Rashad Greene,JAC,1.28,1.8,1.4000000000000001,0.0,1.6,BYE,OUT,1.6,OUT
Dexter McCluster,SD,1.2666666666666666,OUT,OUT,1.8,2.2,0.2,3.0,-0.2,0.6000000000000001
Cecil Shorts,TB,1.2,OUT,2.4000000000000004,OUT,OUT,OUT,BYE,OUT,0.0
Ryan Grant,WAS,0.9,0.0,1.0,0.0,OUT,OUT,0.0,1.0,3.4000000000000004
Cody Latimer,DEN,0.8800000000000001,0.0,2.4000000000000004,2.0,0.0,0.0,OUT,OUT,OUT
Griff Whalen,SD,0.7999999999999999,OUT,OUT,OUT,OUT,OUT,0.0,2.4000000000000004,0.0
James Wright,CIN,0.7333333333333334,0.19999999999999996,2.0,2.0,OUT,OUT,0.2,0.0,0.0
Aaron Burbridge,SF,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,3.0,BYE
Alex Erickson,CIN,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Payton,CLE,0.3,OUT,OUT,OUT,OUT,OUT,0.0,OUT,0.6000000000000001
